worker1, worker2, score, money, flask, gear, startflag, score1(startFlag=True), score2(startFlag=False)
E,L,1.0,0.0,0.0,0.0,0.0,86,70
E,L,1.0,0.0,0.0,0.0,1.0,57,84
E,L,1.0,0.0,0.0,0.0,2.0,110,47
E,L,1.0,0.0,0.0,0.0,3.0,92,84
E,L,1.0,0.0,0.0,0.0,0.0,86,70
E,L,1.0,0.0,0.0,0.0,1.0,57,84
E,L,1.0,0.0,0.0,0.0,2.0,110,47
E,L,1.0,0.0,0.0,0.0,3.0,92,84
E,L,1.0,0.0,0.0,0.0,4.0,94,86
E,L,1.0,0.0,0.0,0.0,5.0,84,84
E,L,1.0,0.0,0.0,0.0,6.0,78,82
E,L,1.0,0.0,0.0,0.0,7.0,86,88
E,L,1.0,0.0,0.0,0.0,8.0,86,88
E,L,1.0,0.0,0.0,0.0,9.0,62,78
E,L,1.0,0.0,0.0,1.0,0.0,86,80
E,L,1.0,0.0,0.0,1.0,1.0,86,80
E,L,1.0,0.0,0.0,1.0,2.0,86,90
E,L,1.0,0.0,0.0,1.0,3.0,86,90
E,L,1.0,0.0,0.0,1.0,4.0,98,74
E,L,1.0,0.0,0.0,1.0,5.0,94,80
E,L,1.0,0.0,0.0,1.0,6.0,102,77
E,L,1.0,0.0,0.0,1.0,7.0,78,96
E,L,1.0,0.0,0.0,1.0,8.0,82,96
E,L,1.0,0.0,0.0,1.0,9.0,82,62
E,L,1.0,0.0,0.0,2.0,0.0,55,57
E,L,1.0,0.0,0.0,2.0,1.0,43,39
E,L,1.0,0.0,0.0,2.0,2.0,8,55
E,L,1.0,0.0,0.0,2.0,3.0,51,31
E,L,1.0,0.0,0.0,2.0,4.0,57,25
E,L,1.0,0.0,0.0,2.0,5.0,63,27
E,L,1.0,0.0,0.0,2.0,6.0,63,27
E,L,1.0,0.0,0.0,2.0,7.0,63,27
E,L,1.0,0.0,0.0,2.0,8.0,63,27
E,L,1.0,0.0,0.0,2.0,9.0,49,65
E,L,1.0,0.0,0.0,3.0,0.0,58,35
E,L,1.0,0.0,0.0,3.0,1.0,33,80
E,L,1.0,0.0,0.0,3.0,2.0,70,27
E,L,1.0,0.0,0.0,3.0,3.0,62,37
E,L,1.0,0.0,0.0,3.0,4.0,57,27
E,L,1.0,0.0,0.0,3.0,5.0,53,8
E,L,1.0,0.0,0.0,3.0,6.0,72,8
E,L,1.0,0.0,0.0,3.0,7.0,72,8
E,L,1.0,0.0,0.0,3.0,8.0,72,8
E,L,1.0,0.0,0.0,3.0,9.0,72,8
E,L,1.0,0.0,0.0,4.0,0.0,31,58
E,L,1.0,0.0,0.0,4.0,1.0,37,76
E,L,1.0,0.0,0.0,4.0,2.0,68,8
E,L,1.0,0.0,0.0,4.0,3.0,66,10
E,L,1.0,0.0,0.0,4.0,4.0,66,10
E,L,1.0,0.0,0.0,4.0,5.0,58,12
E,L,1.0,0.0,0.0,4.0,6.0,58,12
E,L,1.0,0.0,0.0,4.0,7.0,58,12
E,L,1.0,0.0,0.0,4.0,8.0,58,12
E,L,1.0,0.0,0.0,4.0,9.0,58,12
E,L,1.0,0.0,0.0,5.0,0.0,31,58
E,L,1.0,0.0,0.0,5.0,1.0,39,54
E,L,1.0,0.0,0.0,5.0,2.0,68,8
E,L,1.0,0.0,0.0,5.0,3.0,39,10
E,L,1.0,0.0,0.0,5.0,4.0,39,10
E,L,1.0,0.0,0.0,5.0,5.0,33,4
E,L,1.0,0.0,0.0,5.0,6.0,33,4
E,L,1.0,0.0,0.0,5.0,7.0,33,4
E,L,1.0,0.0,0.0,5.0,8.0,33,4
E,L,1.0,0.0,0.0,5.0,9.0,33,4
E,L,1.0,0.0,0.0,6.0,0.0,31,58
E,L,1.0,0.0,0.0,6.0,1.0,39,54
E,L,1.0,0.0,0.0,6.0,2.0,47,29
E,L,1.0,0.0,0.0,6.0,3.0,39,10
E,L,1.0,0.0,0.0,6.0,4.0,39,10
E,L,1.0,0.0,0.0,6.0,5.0,33,4
E,L,1.0,0.0,0.0,6.0,6.0,33,4
E,L,1.0,0.0,0.0,6.0,7.0,33,4
E,L,1.0,0.0,0.0,6.0,8.0,33,4
E,L,1.0,0.0,0.0,6.0,9.0,33,4
E,L,1.0,0.0,0.0,7.0,0.0,31,54
E,L,1.0,0.0,0.0,7.0,1.0,39,54
E,L,1.0,0.0,0.0,7.0,2.0,47,29
E,L,1.0,0.0,0.0,7.0,3.0,39,10
E,L,1.0,0.0,0.0,7.0,4.0,39,10
E,L,1.0,0.0,0.0,7.0,5.0,33,4
E,L,1.0,0.0,0.0,7.0,6.0,33,4
E,L,1.0,0.0,0.0,7.0,7.0,33,4
E,L,1.0,0.0,0.0,7.0,8.0,33,4
E,L,1.0,0.0,0.0,7.0,9.0,33,4
E,L,1.0,0.0,0.0,8.0,0.0,31,54
E,L,1.0,0.0,0.0,8.0,1.0,39,54
E,L,1.0,0.0,0.0,8.0,2.0,47,29
E,L,1.0,0.0,0.0,8.0,3.0,39,10
E,L,1.0,0.0,0.0,8.0,4.0,39,10
E,L,1.0,0.0,0.0,8.0,5.0,33,4
E,L,1.0,0.0,0.0,8.0,6.0,33,4
E,L,1.0,0.0,0.0,8.0,7.0,33,4
E,L,1.0,0.0,0.0,8.0,8.0,33,4
E,L,1.0,0.0,0.0,8.0,9.0,33,4
E,L,1.0,0.0,0.0,9.0,0.0,31,54
E,L,1.0,0.0,0.0,9.0,1.0,39,54
E,L,1.0,0.0,0.0,9.0,2.0,47,29
E,L,1.0,0.0,0.0,9.0,3.0,39,10
E,L,1.0,0.0,0.0,9.0,4.0,39,10
E,L,1.0,0.0,0.0,9.0,5.0,33,4
E,L,1.0,0.0,0.0,9.0,6.0,33,4
E,L,1.0,0.0,0.0,9.0,7.0,33,4
E,L,1.0,0.0,0.0,9.0,8.0,33,4
E,L,1.0,0.0,0.0,9.0,9.0,33,4
E,L,1.0,1.0,0.0,0.0,0.0,47,48
E,L,1.0,1.0,0.0,0.0,1.0,33,41
E,L,1.0,1.0,0.0,0.0,2.0,45,35
E,L,1.0,1.0,0.0,0.0,3.0,52,50
E,L,1.0,1.0,0.0,0.0,4.0,52,50
E,L,1.0,1.0,0.0,0.0,5.0,52,50
E,L,1.0,1.0,0.0,0.0,6.0,52,50
E,L,1.0,1.0,0.0,0.0,7.0,52,50
E,L,1.0,1.0,0.0,0.0,8.0,52,50
E,L,1.0,1.0,0.0,0.0,9.0,52,50
E,L,1.0,1.0,0.0,1.0,0.0,66,60
E,L,1.0,1.0,0.0,1.0,1.0,90,60
E,L,1.0,1.0,0.0,1.0,2.0,104,44
E,L,1.0,1.0,0.0,1.0,3.0,54,98
E,L,1.0,1.0,0.0,1.0,4.0,86,25
E,L,1.0,1.0,0.0,1.0,5.0,86,25
E,L,1.0,1.0,0.0,1.0,6.0,66,72
E,L,1.0,1.0,0.0,1.0,7.0,66,72
E,L,1.0,1.0,0.0,1.0,8.0,66,72
E,L,1.0,1.0,0.0,1.0,9.0,66,72
E,L,1.0,1.0,0.0,2.0,0.0,21,19
E,L,1.0,1.0,0.0,2.0,1.0,17,29
E,L,1.0,1.0,0.0,2.0,2.0,25,15
E,L,1.0,1.0,0.0,2.0,3.0,27,15
E,L,1.0,1.0,0.0,2.0,4.0,23,17
E,L,1.0,1.0,0.0,2.0,5.0,27,17
E,L,1.0,1.0,0.0,2.0,6.0,42,2
E,L,1.0,1.0,0.0,2.0,7.0,42,2
E,L,1.0,1.0,0.0,2.0,8.0,42,2
E,L,1.0,1.0,0.0,2.0,9.0,42,2
E,L,1.0,1.0,0.0,3.0,0.0,19,25
E,L,1.0,1.0,0.0,3.0,1.0,17,8
E,L,1.0,1.0,0.0,3.0,2.0,27,25
E,L,1.0,1.0,0.0,3.0,3.0,4,2
E,L,1.0,1.0,0.0,3.0,4.0,21,21
E,L,1.0,1.0,0.0,3.0,5.0,0,23
E,L,1.0,1.0,0.0,3.0,6.0,0,23
E,L,1.0,1.0,0.0,3.0,7.0,25,0
E,L,1.0,1.0,0.0,3.0,8.0,25,0
E,L,1.0,1.0,0.0,3.0,9.0,2,21
E,L,1.0,1.0,0.0,4.0,0.0,19,25
E,L,1.0,1.0,0.0,4.0,1.0,17,2
E,L,1.0,1.0,0.0,4.0,2.0,19,19
E,L,1.0,1.0,0.0,4.0,3.0,46,6
E,L,1.0,1.0,0.0,4.0,4.0,46,6
E,L,1.0,1.0,0.0,4.0,5.0,0,23
E,L,1.0,1.0,0.0,4.0,6.0,0,23
E,L,1.0,1.0,0.0,4.0,7.0,0,23
E,L,1.0,1.0,0.0,4.0,8.0,0,23
E,L,1.0,1.0,0.0,4.0,9.0,0,23
E,L,1.0,1.0,0.0,5.0,0.0,23,23
E,L,1.0,1.0,0.0,5.0,1.0,21,2
E,L,1.0,1.0,0.0,5.0,2.0,27,2
E,L,1.0,1.0,0.0,5.0,3.0,46,6
E,L,1.0,1.0,0.0,5.0,4.0,46,6
E,L,1.0,1.0,0.0,5.0,5.0,0,15
E,L,1.0,1.0,0.0,5.0,6.0,0,15
E,L,1.0,1.0,0.0,5.0,7.0,0,15
E,L,1.0,1.0,0.0,5.0,8.0,0,15
E,L,1.0,1.0,0.0,5.0,9.0,0,15
E,L,1.0,1.0,0.0,6.0,0.0,31,33
E,L,1.0,1.0,0.0,6.0,1.0,17,4
E,L,1.0,1.0,0.0,6.0,2.0,19,0
E,L,1.0,1.0,0.0,6.0,3.0,46,6
E,L,1.0,1.0,0.0,6.0,4.0,46,6
E,L,1.0,1.0,0.0,6.0,5.0,15,2
E,L,1.0,1.0,0.0,6.0,6.0,0,23
E,L,1.0,1.0,0.0,6.0,7.0,0,23
E,L,1.0,1.0,0.0,6.0,8.0,0,23
E,L,1.0,1.0,0.0,6.0,9.0,0,23
E,L,1.0,1.0,0.0,7.0,0.0,31,33
E,L,1.0,1.0,0.0,7.0,1.0,33,6
E,L,1.0,1.0,0.0,7.0,2.0,33,6
E,L,1.0,1.0,0.0,7.0,3.0,46,8
E,L,1.0,1.0,0.0,7.0,4.0,46,8
E,L,1.0,1.0,0.0,7.0,5.0,15,2
E,L,1.0,1.0,0.0,7.0,6.0,15,2
E,L,1.0,1.0,0.0,7.0,7.0,0,23
E,L,1.0,1.0,0.0,7.0,8.0,0,23
E,L,1.0,1.0,0.0,7.0,9.0,0,23
E,L,1.0,1.0,0.0,8.0,0.0,31,33
E,L,1.0,1.0,0.0,8.0,1.0,31,10
E,L,1.0,1.0,0.0,8.0,2.0,27,0
E,L,1.0,1.0,0.0,8.0,3.0,44,6
E,L,1.0,1.0,0.0,8.0,4.0,44,6
E,L,1.0,1.0,0.0,8.0,5.0,15,2
E,L,1.0,1.0,0.0,8.0,6.0,15,2
E,L,1.0,1.0,0.0,8.0,7.0,0,23
E,L,1.0,1.0,0.0,8.0,8.0,0,23
E,L,1.0,1.0,0.0,8.0,9.0,0,23
E,L,1.0,1.0,0.0,9.0,0.0,31,33
E,L,1.0,1.0,0.0,9.0,1.0,31,10
E,L,1.0,1.0,0.0,9.0,2.0,27,0
E,L,1.0,1.0,0.0,9.0,3.0,44,6
E,L,1.0,1.0,0.0,9.0,4.0,44,6
E,L,1.0,1.0,0.0,9.0,5.0,0,17
E,L,1.0,1.0,0.0,9.0,6.0,0,17
E,L,1.0,1.0,0.0,9.0,7.0,0,17
E,L,1.0,1.0,0.0,9.0,8.0,0,17
E,L,1.0,1.0,0.0,9.0,9.0,0,17
E,L,1.0,2.0,0.0,0.0,0.0,27,52
E,L,1.0,2.0,0.0,0.0,1.0,27,52
E,L,1.0,2.0,0.0,0.0,2.0,27,52
E,L,1.0,2.0,0.0,0.0,3.0,33,50
E,L,1.0,2.0,0.0,0.0,4.0,33,50
E,L,1.0,2.0,0.0,0.0,5.0,33,50
E,L,1.0,2.0,0.0,0.0,6.0,33,50
